"1";"NULL";"0";"Apports praticien";"NULL"
"2";"NULL";"0";"Gains Divers";"NULL"
"3";"NULL";"0";"Produits Financiers";"NULL"
"4";"0";"1";"TVA récupérable";"NULL"
"5";"0";"1";"Prélèvements du praticien";"NULL"
"6";"0";"1";"Achats : fournitures et pharmacie";"NULL"
"7";"0";"1";"Frais de personnel";"NULL"
"8";"6";"1";"Salaires nets";"|ln=BB"
"9";"6";"1";"Charges sociales";"|ln=BC"
"10";"0";"1";"Impôts et Taxes";"NULL"
"11";"10";"1";"TVA Payée";"NULL"
"12";"10";"1";"Taxe Professionnelle";"|ln=BE"
"13";"10";"1";"Autres impôts";"|ln=BS"
"14";"0";"1";"Travaux, Fournitures, Services Extérieurs";"NULL"
"15";"14";"1";"Loyers et charges";"|ln=BF"
"16";"14";"1";"Location matériel";"|ln=BG"
"17";"14";"1";"Réparation et entretien";"|ln=BH"
"18";"14";"1";"Personnel intérim, secrétariat téléphonique";"|ln=BH"
"19";"14";"1";"Petit outillage";"|ln=BH"
"20";"14";"1";"Gaz, électricité, chauffage, eau";"|ln=BH"
"21";"14";"1";"Honoraires rétrocédés";"NULL"
"22";"14";"1";"Honoraires ne constituant pas de rétrocession";"|ln=BH"
"23";"14";"1";"Assurances";"|ln=BH"
"24";"0";"1";"Transports et déplacements";"NULL"
"25";"24";"1";"Frais de voiture";"|ln=BJ"
"26";"24";"1";"Frais moto";"|ln=BJ"
"27";"24";"1";"Autres frais de déplacement";"|ln=BJ"
"28";"0";"1";"Charges sociales du praticien";"NULL"
"29";"28";"1";"Vieillesse, Assurance Maladie, Alloc. Fam.";"|ln=BM"
"30";"0";"1";"Frais divers de gestion";"|ln=BM"
"31";"30";"1";"Congrès";"NULL"
"32";"30";"1";"Cadeaux, représentation et réception";"NULL"
"33";"30";"1";"Frais de bureau, documentation, et P et T";"NULL"
"34";"30";"1";"Cotisation professionnelle et syndicales";"|ln=BM"
"35";"30";"1";"Divers";"|ln=BM"
"36";"0";"1";"Frais financiers";"|ln=BN"
"37";"0";"1";"Pertes diverses";
"38";"0";"1";"Débours payés pour le compte des clients";"NULL"
"39";"0";"1";"Autres dépenses";"NULL"
"40";"39";"1";"SCM ou partage de frais";"NULL"
"41";"39";"1";"Immobilisations";"NULL"
"42";"39";"1";"Divers à  réintégrer dont CSG non déductible";"|ln=CC"
"43";"NULL";"1";"Comptes d'attente";"NULL"
